Customer Id,First Name,Last Name,Gender,Region,State,Age,Email Id,Month Name,Month,Plan price,Plan Category,Services,Customer Type,Serving site,Day,Date`,State date,Customer type,Number
S0015,Jarrid,Tutchener,Male,South,Andhra Pradesh,18,jtutchenere@flavors.me,Jan,1/16/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,16,16-Jan,Andhra Pradesh16-Jan,Retain,9033992401
S0016,Phaidra,Allcock,Male,South,Andhra Pradesh,18,pallcockf@elegantthemes.com,Jan,1/7/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,6,7,7-Jan,Andhra Pradesh7-Jan,Retain,9033992413
S0017,Shandee,Guilleton,Male,South,Andhra Pradesh,21,sguilletong@craigslist.org,Jan,1/6/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,8,6,6-Jan,Andhra Pradesh6-Jan,Churn,9033992421
S0018,Nerti,O'Neill,Male,South,Andhra Pradesh,49,noneillh@cbslocal.com,Jan,1/10/2021,149,Voice Only,"text,voice",Postpaid,2,10,10-Jan,Andhra Pradesh10-Jan,Retain,9033992429
S0019,Tera,Reedie,Male,South,Andhra Pradesh,21,treediei@ning.com,Jan,1/12/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,12,12-Jan,Andhra Pradesh12-Jan,Retain,9033992441
S0020,Dev,Cansdell,Male,South,Andhra Pradesh,18,dcansdellj@businessinsider.com,Jan,1/10/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,9,10,10-Jan,Andhra Pradesh10-Jan,Retain,9033992445
S0021,Mick,Rowles,Male,South,Andhra Pradesh,22,mrowlesk@wix.com,Jan,1/17/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,9,17,17-Jan,Andhra Pradesh17-Jan,Churn,9033992465
S0022,Jocelyn,Gurton,Male,South,Andhra Pradesh,21,jgurtonl@cmu.edu,Jan,1/16/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,2,16,16-Jan,Andhra Pradesh16-Jan,Churn,9033992481
S0023,Ida,Abbado,Male,South,Andhra Pradesh,19,iabbadom@chronoengine.com,Jan,1/11/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,8,11,11-Jan,Andhra Pradesh11-Jan,Churn,9033992489
S0024,Helen,Waldren,Male,South,Andhra Pradesh,21,hwaldrenn@printfriendly.com,Jan,1/16/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,5,16,16-Jan,Andhra Pradesh16-Jan,Retain,9033992501
S0025,Zane,Knights,Male,South,Andhra Pradesh,32,zknightso@theguardian.com,Jan,1/15/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,4,15,15-Jan,Andhra Pradesh15-Jan,Retain,9033992505
S0026,Nadya,Harbison,Female,South,Andhra Pradesh,52,nharbisonp@usgs.gov,Jan,1/20/2021,99,Voice Only,"text,voice",Prepaid,2,20,20-Jan,Andhra Pradesh20-Jan,Retain,9033992509
S0027,Zorana,Rigge,Male,South,Andhra Pradesh,34,zriggeq@imdb.com,Jan,1/11/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,6,11,11-Jan,Andhra Pradesh11-Jan,Retain,9033992565
S0028,Rollin,Snowball,Male,South,Andhra Pradesh,28,rsnowballr@mit.edu,Jan,1/9/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,2,9,9-Jan,Andhra Pradesh9-Jan,Churn,9033992577
S0029,Garek,Haquin,Female,South,Andhra Pradesh,49,ghaquins@indiatimes.com,Jan,1/19/2021,149,Voice Only,"text,voice",Postpaid,8,19,19-Jan,Andhra Pradesh19-Jan,Churn,9033992585
S0030,Lola,Benion,Female,South,Andhra Pradesh,21,lbeniont@berkeley.edu,Jan,1/3/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,8,3,3-Jan,Andhra Pradesh3-Jan,Retain,9033992589
S0031,Rodina,Hannaford,Male,South,Andhra Pradesh,31,rhannafordu@vkontakte.ru,Jan,1/19/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,4,19,19-Jan,Andhra Pradesh19-Jan,Retain,9033992593
S0032,Munmro,Paffitt,Male,South,Andhra Pradesh,36,mpaffittv@vkontakte.ru,Jan,1/24/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,8,24,24-Jan,Andhra Pradesh24-Jan,Retain,9033992597
S0033,Andrej,Cuseick,Male,South,Andhra Pradesh,29,acuseickw@japanpost.jp,Jan,1/6/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,7,6,6-Jan,Andhra Pradesh6-Jan,Churn,9033992601
S0034,Prissie,Jollands,Male,South,Andhra Pradesh,23,pjollandsx@army.mil,Jan,1/18/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,3,18,18-Jan,Andhra Pradesh18-Jan,Churn,9033992605
S0035,Hersh,Ivankin,Male,South,Andhra Pradesh,19,hivankiny@de.vu,Jan,1/4/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,4,4-Jan,Andhra Pradesh4-Jan,Churn,9033992645
S0036,Josie,Weben,Male,South,Andhra Pradesh,23,jwebenz@loc.gov,Jan,1/6/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,6,6,6-Jan,Andhra Pradesh6-Jan,Churn,9033992649
S0037,Carly,Selesnick,Male,South,Andhra Pradesh,34,cselesnick10@intel.com,Jan,1/11/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,5,11,11-Jan,Andhra Pradesh11-Jan,Retain,9033992653
S0038,Maire,Gallichiccio,Male,South,Andhra Pradesh,20,mgallichiccio11@blogs.com,Jan,1/8/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,2,8,8-Jan,Andhra Pradesh8-Jan,Retain,9033992665
S0039,Frazer,Bernardos,Male,South,Andhra Pradesh,18,fbernardos12@guardian.co.uk,Jan,1/5/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,5,5-Jan,Andhra Pradesh5-Jan,Churn,9033992677
S0040,Mayer,Mayler,Male,South,Andhra Pradesh,45,mmayler13@dmoz.org,Jan,1/11/2021,99,Voice Only,"text,voice",Prepaid,6,11,11-Jan,Andhra Pradesh11-Jan,Retain,9033992681
S0043,Javier,Concannon,Male,South,Andhra Pradesh,26,jconcannon16@webs.com,Feb,2/6/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,6,6-Feb,Andhra Pradesh6-Feb,Churn,9033992693
S0048,Elijah,Haill,Male,South,Andhra Pradesh,25,ehaill1b@deviantart.com,Apr,4/16/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,8,16,16-Apr,Andhra Pradesh16-Apr,Churn,9033992729
S0062,Gusty,Treven,Female,South,Andhra Pradesh,28,gtreven1p@pinterest.com,Jul,7/12/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,5,12,12-Jul,Andhra Pradesh12-Jul,Retain,9033992837
S0063,Ailis,Waple,Female,South,Andhra Pradesh,25,awaple1q@1und1.de,Jul,7/13/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,2,13,13-Jul,Andhra Pradesh13-Jul,Retain,9033992845
S0064,Fergus,McLuckie,Female,South,Andhra Pradesh,32,fmcluckie1r@cdc.gov,Jul,7/1/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,1,1,1-Jul,Andhra Pradesh1-Jul,Retain,9033992849
S0065,Babette,Elfe,Male,South,Andhra Pradesh,36,belfe1s@cdbaby.com,Aug,8/27/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,5,27,27-Aug,Andhra Pradesh27-Aug,Retain,9033992857
S0066,Vivyan,Towndrow,Female,South,Andhra Pradesh,23,vtowndrow1t@sitemeter.com,Aug,8/17/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,17,17-Aug,Andhra Pradesh17-Aug,Retain,9033992865
S0067,Nap,Abramcik,Female,South,Andhra Pradesh,20,nabramcik1u@marriott.com,Aug,8/25/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,4,25,25-Aug,Andhra Pradesh25-Aug,Retain,9033992873
S0068,Austine,Hayselden,Male,South,Andhra Pradesh,24,ahayselden1v@google.fr,Aug,8/1/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,2,1,1-Aug,Andhra Pradesh1-Aug,Retain,9033992885
S0069,Bruno,Ladd,Male,South,Andhra Pradesh,24,bladd1w@reverbnation.com,Sep,9/26/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,26,26-Sep,Andhra Pradesh26-Sep,Retain,9033992897
S0070,Cosetta,Newlands,Male,South,Andhra Pradesh,30,cnewlands1x@1688.com,Sep,9/6/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,4,6,6-Sep,Andhra Pradesh6-Sep,Retain,9033992901
S0071,Rab,Gristock,Female,South,Andhra Pradesh,19,rgristock1y@t-online.de,Sep,9/5/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,3,5,5-Sep,Andhra Pradesh5-Sep,Retain,9033992913
S0072,Vaughn,Phippard,Female,South,Andhra Pradesh,26,vphippard1z@cornell.edu,Sep,9/4/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,7,4,4-Sep,Andhra Pradesh4-Sep,Retain,9033992929
S0073,Barty,Thynne,Female,South,Andhra Pradesh,22,bthynne20@earthlink.net,Oct,10/13/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,3,13,13-Oct,Andhra Pradesh13-Oct,Retain,9033992937
S0074,Timmy,Vickerman,Female,South,Andhra Pradesh,25,tvickerman21@virginia.edu,Oct,10/25/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,25,25-Oct,Andhra Pradesh25-Oct,Retain,9033992941
S0075,Franciska,Graffin,Male,South,Andhra Pradesh,19,fgraffin22@patch.com,Oct,10/31/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,3,31,31-Oct,Andhra Pradesh31-Oct,Retain,9033992945
S0076,Flem,Tollerfield,Male,South,Andhra Pradesh,25,ftollerfield23@gov.uk,Nov,11/19/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,5,19,19-Nov,Andhra Pradesh19-Nov,Retain,9033992949
S0077,Shaylah,Kunzler,Female,South,Andhra Pradesh,24,skunzler24@sbwire.com,Nov,11/17/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,3,17,17-Nov,Andhra Pradesh17-Nov,Retain,9033992969
S0078,Benjamen,Ashplant,Female,South,Andhra Pradesh,53,bashplant25@angelfire.com,Nov,11/5/2021,99,Voice Only,"text,voice",Prepaid,4,5,5-Nov,Andhra Pradesh5-Nov,Retain,9033992973
S0079,Dorie,Habble,Male,South,Andhra Pradesh,22,dhabble26@google.ca,Dec,12/7/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,8,7,7-Dec,Andhra Pradesh7-Dec,New,9033992977
S0080,Rheta,Heymes,Male,South,Andhra Pradesh,26,rheymes27@nba.com,Dec,12/4/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,4,4-Dec,Andhra Pradesh4-Dec,New,9033992985
S0081,Tani,Braz,Female,South,Andhra Pradesh,23,tbraz28@sourceforge.net,Dec,12/22/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,5,22,22-Dec,Andhra Pradesh22-Dec,New,8706701263
S0082,Ettie,Tewes,Male,South,Andhra Pradesh,19,etewes29@blog.com,Dec,12/7/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,2,7,7-Dec,Andhra Pradesh7-Dec,New,8706701267
S0083,Drucill,Grinvalds,Male,South,Andhra Pradesh,20,dgrinvalds2a@senate.gov,Dec,12/2/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,3,2,2-Dec,Andhra Pradesh2-Dec,New,8706701271
S0085,Shelby,Measey,Male,North-East,Arunachal Pradesh,27,smeasey2c@senate.gov,Jan,1/9/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,3,9,9-Jan,Arunachal Pradesh9-Jan,Retain,8706701287
S0086,Florenza,Ody,Female,North-East,Arunachal Pradesh,25,fody2d@issuu.com,Jan,1/4/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,8,4,4-Jan,Arunachal Pradesh4-Jan,Retain,8706701299
S0087,Natal,Cordel,Female,North-East,Arunachal Pradesh,18,ncordel2e@psu.edu,Jan,1/21/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,2,21,21-Jan,Arunachal Pradesh21-Jan,Churn,8706701303
S0088,Valida,Bramford,Male,North-East,Arunachal Pradesh,29,vbramford2f@nsw.gov.au,Jan,1/24/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,5,24,24-Jan,Arunachal Pradesh24-Jan,Retain,8706701307
S0089,Morten,Askam,Male,North-East,Arunachal Pradesh,20,maskam2g@gizmodo.com,Jan,1/7/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,7,7-Jan,Arunachal Pradesh7-Jan,Retain,8706701315
S0090,Anderson,Moyle,Male,North-East,Arunachal Pradesh,28,amoyle2h@mapy.cz,Jan,1/4/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,3,4,4-Jan,Arunachal Pradesh4-Jan,Retain,8706701339
S0091,Miner,Tame,Male,North-East,Arunachal Pradesh,18,mtame2i@wsj.com,Jan,1/6/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,4,6,6-Jan,Arunachal Pradesh6-Jan,Churn,8706701343
S0092,Natty,Kinson,Male,North-East,Arunachal Pradesh,35,nkinson2j@linkedin.com,Jan,1/17/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,7,17,17-Jan,Arunachal Pradesh17-Jan,Retain,8706701347
S0093,Deeanne,Ravillas,Female,North-East,Arunachal Pradesh,23,dravillas2k@fastcompany.com,Jan,1/11/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,2,11,11-Jan,Arunachal Pradesh11-Jan,Churn,8706701355
S0094,Cleo,Schollick,Female,North-East,Arunachal Pradesh,32,cschollick2l@youku.com,Jan,1/23/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,9,23,23-Jan,Arunachal Pradesh23-Jan,Retain,8706701359
S0095,Gaynor,Soames,Female,North-East,Arunachal Pradesh,29,gsoames2m@elegantthemes.com,Jan,1/11/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,8,11,11-Jan,Arunachal Pradesh11-Jan,Retain,8706701363
S0096,Sabrina,Duck,Female,North-East,Arunachal Pradesh,29,sduck2n@1688.com,Jan,1/21/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,9,21,21-Jan,Arunachal Pradesh21-Jan,Retain,8706701379
S0097,Frances,Wagenen,Female,North-East,Arunachal Pradesh,32,fwagenen2o@myspace.com,Jan,1/9/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,7,9,9-Jan,Arunachal Pradesh9-Jan,Churn,8706701383
S0098,Cortney,Kun,Female,North-East,Arunachal Pradesh,22,ckun2p@clickbank.net,Jan,1/7/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,4,7,7-Jan,Arunachal Pradesh7-Jan,Churn,8706701403
S0099,Charo,Sirr,Male,North-East,Arunachal Pradesh,30,csirr2q@1und1.de,Jan,1/1/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,2,1,1-Jan,Arunachal Pradesh1-Jan,Churn,8706701423
S0100,Isobel,Sherrington,Male,North-East,Arunachal Pradesh,22,isherrington2r@nih.gov,Jan,1/21/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,9,21,21-Jan,Arunachal Pradesh21-Jan,Retain,8706701431
S0101,Jami,Matuschek,Female,North-East,Arunachal Pradesh,26,jmatuschek2s@google.pl,Jan,1/5/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,7,5,5-Jan,Arunachal Pradesh5-Jan,Churn,8706701435
S0102,Hank,Boyfield,Male,North-East,Arunachal Pradesh,20,hboyfield2t@friendfeed.com,Jan,1/7/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,7,7-Jan,Arunachal Pradesh7-Jan,Churn,8706701443
S0103,Meredith,Janman,Female,North-East,Arunachal Pradesh,37,mjanman2u@huffingtonpost.com,Jan,1/22/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,7,22,22-Jan,Arunachal Pradesh22-Jan,Retain,8706701463
S0104,James,Bricksey,Female,North-East,Arunachal Pradesh,34,jbricksey2v@macromedia.com,Jan,1/9/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,1,9,9-Jan,Arunachal Pradesh9-Jan,Retain,8706701475
S0105,Shara,Field,Male,North-East,Arunachal Pradesh,44,sfield2w@ifeng.com,Jan,1/8/2021,99,Voice Only,"text,voice",Prepaid,8,8,8-Jan,Arunachal Pradesh8-Jan,Churn,8706701479
S0106,Romy,Drew,Female,North-East,Arunachal Pradesh,26,rdrew2x@exblog.jp,Jan,1/18/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,4,18,18-Jan,Arunachal Pradesh18-Jan,Churn,8706701483
S0107,Davey,Heppenspall,Male,North-East,Arunachal Pradesh,19,dheppenspall2y@zimbio.com,Jan,1/6/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,7,6,6-Jan,Arunachal Pradesh6-Jan,Churn,8706701495
S0108,Gerick,Akess,Female,North-East,Arunachal Pradesh,18,gakess2z@auda.org.au,Jan,1/11/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,2,11,11-Jan,Arunachal Pradesh11-Jan,Churn,8706701511
S0109,Joe,Ingram,Female,North-East,Arunachal Pradesh,25,jingram30@techcrunch.com,Jan,1/9/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,1,9,9-Jan,Arunachal Pradesh9-Jan,Churn,8706701527
S0110,Gavan,Mucklo,Female,North-East,Arunachal Pradesh,25,gmucklo31@blog.com,Jan,1/22/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,5,22,22-Jan,Arunachal Pradesh22-Jan,Churn,8706701531
S0111,Amanda,Pim,Female,North-East,Arunachal Pradesh,26,apim32@123-reg.co.uk,Jan,1/9/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,9,9,9-Jan,Arunachal Pradesh9-Jan,Churn,8706701535
S0112,Dylan,Goold,Male,North-East,Arunachal Pradesh,22,dgoold33@ovh.net,Jan,1/2/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,8,2,2-Jan,Arunachal Pradesh2-Jan,Churn,8706701547
S0113,Sashenka,Ambrogioli,Female,North-East,Arunachal Pradesh,38,sambrogioli34@trellian.com,Jan,1/16/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,9,16,16-Jan,Arunachal Pradesh16-Jan,Churn,8706701551
S0114,Anton,Knightly,Male,North-East,Arunachal Pradesh,26,aknightly35@google.es,Jan,1/16/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,1,16,16-Jan,Arunachal Pradesh16-Jan,Retain,8706701571
S0136,Natal,Gery,Male,North-East,Arunachal Pradesh,28,ngery3r@joomla.org,Jul,7/6/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,7,6,6-Jul,Arunachal Pradesh6-Jul,Retain,8706701775
S0137,Fidole,Fitchett,Male,North-East,Arunachal Pradesh,20,ffitchett3s@microsoft.com,Jul,7/12/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,2,12,12-Jul,Arunachal Pradesh12-Jul,Retain,8706701779
S0138,Rayna,Wrightham,Male,North-East,Arunachal Pradesh,39,rwrightham3t@gizmodo.com,Jul,7/17/2021,149,Voice Only,"text,voice",Postpaid,4,17,17-Jul,Arunachal Pradesh17-Jul,Retain,8706701791
S0139,Kathrine,Pietrowski,Male,North-East,Arunachal Pradesh,22,kpietrowski3u@amazon.de,Aug,8/5/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,7,5,5-Aug,Arunachal Pradesh5-Aug,Retain,8706701807
S0140,Gabbie,Cud,Female,North-East,Arunachal Pradesh,31,gcud3v@devhub.com,Aug,8/21/2021,599,Till 5 GB,"text,voice,data,Video",Postpaid,8,21,21-Aug,Arunachal Pradesh21-Aug,Retain,8706701815
S0141,Yul,McClurg,Female,North-East,Arunachal Pradesh,32,ymcclurg3w@usgs.gov,Aug,8/23/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,1,23,23-Aug,Arunachal Pradesh23-Aug,Retain,8706701819
S0142,Engelbert,Batt,Female,North-East,Arunachal Pradesh,25,ebatt3x@dedecms.com,Aug,8/14/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,2,14,14-Aug,Arunachal Pradesh14-Aug,Retain,8706701827
S0143,Mirelle,Toplis,Male,North-East,Arunachal Pradesh,24,mtoplis3y@list-manage.com,Sep,9/13/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,6,13,13-Sep,Arunachal Pradesh13-Sep,Retain,8706701839
S0144,Trip,Jozaitis,Female,North-East,Arunachal Pradesh,31,tjozaitis3z@squidoo.com,Sep,9/26/2021,399,Till 3.5 GB,"Voice,Data",Postpaid,2,26,26-Sep,Arunachal Pradesh26-Sep,Retain,8706701851
S0145,Amery,Basilotta,Male,North-East,Arunachal Pradesh,44,abasilotta40@google.co.jp,Sep,9/23/2021,149,Voice Only,"text,voice",Postpaid,3,23,23-Sep,Arunachal Pradesh23-Sep,Retain,8706701871
S0146,Pauline,Carlon,Male,North-East,Arunachal Pradesh,41,pcarlon41@noaa.gov,Sep,9/29/2021,99,Voice Only,"text,voice",Prepaid,2,29,29-Sep,Arunachal Pradesh29-Sep,Retain,8706701879
S0147,Dreddy,Baignard,Male,North-East,Arunachal Pradesh,18,dbaignard42@amazon.de,Oct,10/6/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,4,6,6-Oct,Arunachal Pradesh6-Oct,Retain,8706701887
S0148,Malena,Zecchi,Male,North-East,Arunachal Pradesh,25,mzecchi43@pinterest.com,Oct,10/22/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,3,22,22-Oct,Arunachal Pradesh22-Oct,Retain,8706701891
S0149,Karina,Almey,Female,North-East,Arunachal Pradesh,50,kalmey44@indiegogo.com,Oct,10/18/2021,99,Voice Only,"text,voice",Prepaid,1,18,18-Oct,Arunachal Pradesh18-Oct,Retain,8706701903
S0150,Marlane,Minchinton,Female,North-East,Arunachal Pradesh,22,mminchinton45@amazon.co.jp,Nov,11/10/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,2,10,10-Nov,Arunachal Pradesh10-Nov,Retain,8706701919
S0151,Haley,Castel,Female,North-East,Arunachal Pradesh,23,hcastel46@census.gov,Nov,11/27/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,7,27,27-Nov,Arunachal Pradesh27-Nov,Retain,8706701923
S0152,Winni,Hasker,Female,North-East,Arunachal Pradesh,24,whasker47@cisco.com,Nov,11/4/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,4,4-Nov,Arunachal Pradesh4-Nov,Retain,8706701951
S0153,Alden,Conant,Female,North-East,Arunachal Pradesh,20,aconant48@dion.ne.jp,Nov,11/19/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,6,19,19-Nov,Arunachal Pradesh19-Nov,Retain,8706701955
S0154,Arlette,Landre,Female,North-East,Arunachal Pradesh,42,alandre49@prnewswire.com,Dec,12/26/2021,99,Voice Only,"text,voice",Prepaid,8,26,26-Dec,Arunachal Pradesh26-Dec,New,8706701959
S0155,Adriane,Ashall,Male,North-East,Arunachal Pradesh,26,aashall4a@tamu.edu,Dec,12/27/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,3,27,27-Dec,Arunachal Pradesh27-Dec,New,8706701967
S0156,Ogdon,Drinkhill,Female,North-East,Arunachal Pradesh,23,odrinkhill4b@hp.com,Dec,12/10/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,7,10,10-Dec,Arunachal Pradesh10-Dec,New,8706701979
S0157,Maxwell,Gurwood,Male,North-East,Arunachal Pradesh,19,mgurwood4c@telegraph.co.uk,Dec,12/18/2021,299,Till 2.5 GB,"text,voice,data,Video",Prepaid,9,18,18-Dec,Arunachal Pradesh18-Dec,New,8706701983
S0158,Avrit,Valerio,Male,North-East,Arunachal Pradesh,20,avalerio4d@etsy.com,Dec,12/25/2021,199,Till 1.5 GB,"Voice,Data",Prepaid,8,25,25-Dec,Arunachal Pradesh25-Dec,New,8706702011
