Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Speciality,Start Date,State,Time Bucket,Time Bucket Master,Trgt Flg,Zip,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Fax,Geo Level Id,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
1415 S ARLINGTON HEIGHTS RD,LAKEWOOD,GWEN BLAKELY HUDSON,GREAT LAKES,CLEVELAND,Decile 1-2,GWEN BLAKELY HUDSON@aolmail.com,12/20/2021,U000101,NATION,US,11/15/2020,10021090,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,44107,0,1,3,3,0,0,0,1,2488981473,2,8107330870,11,1,1
3041 STONEHEDGE DR NE,NORTHVILLE,KAREN MARIE DARNELL,GREAT LAKES,DETROIT SOUTH,Decile 5-6,KAREN MARIE DARNELL@gmail.com,12/20/2021,U000101,NATION,US,3/17/2021,10021097,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,N,48168,0,0,0,4,0,0,0,6,2486616649,2,8407330878,12,0,0
20 YORK ST,ROCKY RIVER,KRISTINE M DROZD,GREAT LAKES,CLEVELAND,Decile 9-10,KRISTINE M DROZD@gmail.com,12/20/2021,U000101,NATION,US,4/19/2021,10021104,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,Y,44116,2,0,1,2,0,1,1,10,3133437784,2,8107330886,13,1,0
1010 EDGEHILL RD N,BRUNSWICK,NAUMAN  TARIQ,GREAT LAKES,CLEVELAND,Decile 3-4,NAUMAN  TARIQ@gmail.com,12/20/2021,U000101,NATION,US,4/1/2021,10021111,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,N,44212,3,0,1,4,0,1,2,4,2165386271,2,8307330894,14,1,1
3000 NEW BERN AVE,ALTOONA,MELISSA R JOHNSON,GREAT LAKES,PITTSBURGH,Decile 5-6,MELISSA R JOHNSON@thunderbird.com,12/20/2021,U000101,NATION,US,9/17/2020,10021118,1001001,EXL,Hospitals,9/10/2020,PA,LTD,LTD,N,16601,1,0,0,0,0,1,0,6,4403313221,2,9407330902,15,1,0
1 BARNES JEWISH HOSPITAL PLZ,SYKESVILLE,KATHLEEN MARIE CARLSEN,MID-ATLANTIC,BALTIMORE,Decile 5-6,KATHLEEN MARIE CARLSEN@gmail.com,12/20/2021,U000101,NATION,US,2/8/2021,10021125,1001001,EXL,Hospitals,9/10/2020,MD,LTD,LTD,N,21784,0,0,1,1,0,0,0,5,6143662360,2,9007330910,16,1,1
80 SEYMOUR ST,LIVINGSTON,BRITTANY  SYMBOL,MID-ATLANTIC,NORTH JERSEY,Decile 9-10,BRITTANY  SYMBOL@gmail.com,12/20/2021,U000101,NATION,US,7/15/2021,10021132,1001001,EXL,Hospitals,9/10/2020,NJ,LTD,LTD,Y,07039,2,2,2,3,0,0,2,9,6142937264,2,8107330918,17,1,1
1200 S CEDAR CREST BLVD,ALLENTOWN,RYAN DAVID ROGERS,MID-ATLANTIC,ALLENTOWN,Decile 5-6,RYAN DAVID ROGERS@aolmail.com,12/20/2021,U000101,NATION,US,7/6/2021,10021139,1001001,EXL,Hospitals,9/10/2020,PA,LTD,LTD,N,18103,2,2,3,3,0,1,1,5,6142933277,2,8407330926,18,1,1
1200 S CEDAR CREST BLVD,AUBURN HILLS,TANNER RAY BULKLEY,GREAT LAKES,DETROIT NORTH,Decile 5-6,TANNER RAY BULKLEY@gmail.com,12/20/2021,U000101,NATION,US,9/22/2021,10021146,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48326,0,0,3,3,0,0,0,5,6143662175,2,9007330934,19,1,1
503 N 21ST ST,TROY,KRISTIN ANN O'BRIEN,GREAT LAKES,DETROIT NORTH,Decile 3-4,KRISTIN ANN O'BRIEN@GLOBAL.NET,12/20/2021,U000101,NATION,US,1/7/2021,10021153,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,N,48083,1,0,2,2,0,0,1,3,2488495324,2,8307330942,20,1,1
1701 INNOVATION DR,MUSKEGON,MOLLY ERIN MCCOY,GREAT LAKES,GRAND RAPIDS,Decile 7-8,MOLLY ERIN MCCOY@gmail.com,12/20/2021,U000101,NATION,US,1/20/2021,10021160,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,49442,3,1,3,3,0,1,2,8,2164447751,2,9407330950,21,0,0
2900 N LAKE SHORE DR,LORAIN,CHINYERE JUMAI JOY IKWU,GREAT LAKES,CLEVELAND,Decile 7-8,CHINYERE JUMAI JOY IKWU@outlook.com,12/20/2021,U000101,NATION,US,12/29/2020,10021167,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,N,44053,2,0,0,2,0,1,1,7,2164448530,2,8407330958,22,0,0
1018 EAST BLVD STE 3,LOGANSPORT,MATTHEW  ALEXANDER,GREAT LAKES,INDIANAPOLIS NORTH,Decile 1-2,MATTHEW  ALEXANDER@outlook.com,12/20/2021,U000101,NATION,US,1/9/2021,10021174,1001001,EXL,Consultants,9/10/2020,IN,LTD,LTD,N,46947,2,0,1,3,0,1,1,1,6142939789,2,8307330966,23,1,1
1021 BANDANA BLVD E FL 1,CHESTERFIELD,SHELLY BETH TRAN,GREAT LAKES,DETROIT NORTH,Decile 1-2,SHELLY BETH TRAN@gmail.com,12/20/2021,U000101,NATION,US,10/11/2020,10021181,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48051,1,1,3,3,0,0,1,1,6142933124,2,8307330974,24,1,1
29 HOSPITAL PLZ STE 602,WHITMORE LAKE,MARK M LANDRENEAU,GREAT LAKES,DETROIT SOUTH,Decile 3-4,MARK M LANDRENEAU@outlook.com,12/20/2021,U000101,NATION,US,3/11/2021,10021188,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48189,1,0,0,1,0,1,0,4,6104371942,2,9407330982,25,0,0
509 BILTMORE AVE,AKRON,VALORIE LYNNE SPEEGLE SNELL,GREAT LAKES,COLUMBUS,Decile 1-2,VALORIE LYNNE SPEEGLE SNELL@outlook.com,12/20/2021,U000101,NATION,US,10/1/2021,10021195,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,44307,1,1,3,4,0,0,1,1,7173392792,2,8307330990,26,1,0
2711 RANDOLPH RD STE 400,EVANSVILLE,DONALD PAUL BERLING,GREAT LAKES,INDIANAPOLIS SOUTH,Decile 9-10,DONALD PAUL BERLING@icould.com,12/20/2021,U000101,NATION,US,6/19/2021,10021202,1001001,EXL,Hospitals,9/10/2020,IN,LTD,LTD,Y,47710,0,1,2,3,0,0,0,10,7037763020,2,7807330998,27,1,1
600 N WOLFE ST 618,CLARKSTON,MARC STEVEN SUSSMAN,GREAT LAKES,DETROIT NORTH,Decile 5-6,MARC STEVEN SUSSMAN@outlook.com,12/20/2021,U000101,NATION,US,1/22/2021,10021209,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,N,48346,1,0,1,4,0,0,1,6,2168443152,2,7807331006,28,0,0
4320 SEMINARY RD,GROSSE POINTE FARMS,TAMMI N NELSON,GREAT LAKES,DETROIT SOUTH,Decile 1-2,TAMMI N NELSON@gmail.com,12/20/2021,U000101,NATION,US,9/9/2021,10021216,1001001,EXL,Consultants,9/10/2020,MI,LTD,LTD,N,48236,0,1,2,4,0,0,0,1,2164456259,2,7507331014,29,1,1
2600 39TH AVE NE,CHARDON,MOLLY L LEWIS,GREAT LAKES,CLEVELAND,Decile 5-6,MOLLY L LEWIS@yahoo.com,12/20/2021,U000101,NATION,US,3/13/2021,10021223,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,44024,2,0,0,2,0,0,2,6,5747320504,2,8107331022,30,1,0
660 S EUCLID AVE,MACEDONIA,JOSEPH  BRANCHECK,GREAT LAKES,CLEVELAND,Decile 7-8,JOSEPH  BRANCHECK@gmail.com,12/20/2021,U000101,NATION,US,1/17/2021,10021230,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,N,44056,1,0,2,2,0,0,1,8,2488982898,2,8307331030,31,0,0
9030 GLENWATER DR,FALLSTON,ZACHARY JAMES MURPHY,MID-ATLANTIC,BALTIMORE,Decile 7-8,ZACHARY JAMES MURPHY@thunderbird.com,12/20/2021,U000101,NATION,US,3/19/2021,10021237,1001001,EXL,Consultants,9/10/2020,MD,LTD,LTD,N,21047,3,1,3,3,1,1,2,7,2484232576,2,9407331038,32,0,0
420 DELAWARE ST SE,NEWARK,JULIE M SCHAEFER,MID-ATLANTIC,NORTH JERSEY,Decile 3-4,JULIE M SCHAEFER@aolmail.com,12/20/2021,U000101,NATION,US,11/12/2021,10021244,1001001,EXL,Consultants,9/10/2020,NJ,LTD,LTD,N,07103,0,1,1,4,1,0,0,4,2164456290,2,8307331046,33,1,1
800 HOWARD AVE,ROCHESTER,MARY M ZORZANELLO,GREAT LAKES,DETROIT NORTH,Decile 9-10,MARY M ZORZANELLO@outlook.com,12/20/2021,U000101,NATION,US,2/10/2021,10021251,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,Y,48309,1,0,0,0,0,1,0,10,6142935503,2,9407331054,34,1,0
16455 STATESVILLE RD STE 360,LIVONIA,CYNTHIA  AMBROISE,GREAT LAKES,DETROIT SOUTH,Decile 5-6,CYNTHIA  AMBROISE@icould.com,12/20/2021,U000101,NATION,US,9/23/2021,10021258,1001001,EXL,Hospitals,9/10/2020,MI,LTD,LTD,N,48150,3,1,2,3,0,1,2,6,2486258938,2,8107331062,35,1,0
580 W 8TH ST,WARREN,JESSICA M SABIN,GREAT LAKES,CLEVELAND,Decile 5-6,JESSICA M SABIN@gmail.com,12/20/2021,U000101,NATION,US,12/9/2021,10021265,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,N,44484,1,0,1,3,0,1,0,6,9376194150,2,7807331070,36,1,1
4502 MEDICAL DR,RAVENNA,MELISSA ANN GOMEZ,GREAT LAKES,COLUMBUS,Decile 7-8,MELISSA ANN GOMEZ@gmail.com,12/20/2021,U000101,NATION,US,10/14/2020,10021272,1001001,EXL,Consultants,9/10/2020,OH,LTD,LTD,N,44266,0,0,1,4,0,0,0,8,2168961801,2,9007331078,37,0,0
601 ELMWOOD AVE,WOOSTER,KATHRYN ANN KELLEHER,GREAT LAKES,COLUMBUS,Decile 9-10,KATHRYN ANN KELLEHER@thunderbird.com,12/20/2021,U000101,NATION,US,12/18/2020,10021279,1001001,EXL,Hospitals,9/10/2020,OH,LTD,LTD,Y,44691,3,0,1,2,0,1,2,10,2162016678,2,8307331086,38,1,0
29877 TELEGRAPH RD,JESSUP,CHRISTINA  AKARAZ,MID-ATLANTIC,WASHINGTON DC NORTH,Decile 5-6,CHRISTINA  AKARAZ@gmail.com,12/20/2021,U000101,NATION,US,11/26/2020,10021286,1001001,EXL,Hospitals,9/10/2020,MD,LTD,LTD,N,20794,1,0,0,4,0,0,1,5,2166362054,2,8307331094,39,0,0
621 S NEW BALLAS RD STE 6017 B,NEW BRUNSWICK,LEO CHARLES WARREN,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 3-4,LEO CHARLES WARREN@gmail.com,12/20/2021,U000101,NATION,US,11/6/2020,10021293,1001001,EXL,Consultants,9/10/2020,NJ,LTD,LTD,N,08901,2,2,2,4,0,1,1,4,9373956668,2,9007331102,40,1,0
49 JESSE HILL JR DR SE,ERIE,ABDULLAH ABDULRAHMAN BAKHSH,GREAT LAKES,PITTSBURGH,Decile 7-8,ABDULLAH ABDULRAHMAN BAKHSH@gmail.com,12/20/2021,U000101,NATION,US,7/29/2021,10021300,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,16502,0,0,0,1,0,0,0,8,9376561775,2,8407331110,41,0,0
80 JESSE HILL JR DR SE,BETHESDA,CAROL  WEBB,MID-ATLANTIC,WASHINGTON DC NORTH,Decile 5-6,CAROL  WEBB@thunderbird.com,12/20/2021,U000101,NATION,US,3/16/2021,10021307,1001001,EXL,Hospitals,9/10/2020,MD,LTD,LTD,N,20814,2,1,2,2,0,1,1,5,2166712210,2,7807331118,42,0,0
6711 S NEW BRAUNFELS AVE STE 100,FAIRFAX,EBONEY  JACKSON,MID-ATLANTIC,WASHINGTON DC SOUTH,Decile 5-6,EBONEY  JACKSON@outlook.com,12/20/2021,U000101,NATION,US,8/17/2021,10021314,1001001,EXL,Hospitals,9/10/2020,VA,LTD,LTD,N,22031,0,1,3,4,1,0,0,6,2168441345,2,8307331126,43,0,0
400 N PEPPER AVE,LITTLE ROCK,ARTHUR DAVID AZCARATE,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 9-10,ARTHUR DAVID AZCARATE@yahoo.com,12/20/2021,U000101,NATION,US,5/1/2021,10021321,1001001,EXL,Hospitals,9/10/2020,AR,LTD,LTD,Y,72205,1,0,3,3,0,1,0,9,6142936330,2,9007331134,44,0,0
400 N PEPPER AVE,CHAPEL HILL,VELEN  TAT,MID-CENTRAL,RALEIGH DURHAM,Decile 5-6,VELEN  TAT@gmail.com,12/20/2021,U000101,NATION,US,8/20/2021,10021328,1001001,EXL,Hospitals,9/10/2020,NC,LTD,LTD,N,27514,1,0,0,0,0,0,1,6,8149429500,2,7807331142,45,0,0
2700 10TH AVE S STE 200,CHARLESTON,DAVID KELLY ADKINSON,MID-CENTRAL,COLUMBIA,Decile 1-2,DAVID KELLY ADKINSON@gmail.com,12/20/2021,U000101,NATION,US,1/17/2021,10021335,1001001,EXL,Consultants,9/10/2020,SC,LTD,LTD,N,29414,2,0,3,3,0,0,2,1,2484232576,2,8107331150,46,0,0
4700 CITY AVE APT 12203,FORT MILL,JOSALYN WINNIE-LARIE BOYLES,MID-CENTRAL,COLUMBIA,Decile 9-10,JOSALYN WINNIE-LARIE BOYLES@yahoo.com,12/20/2021,U000101,NATION,US,2/24/2021,10021342,1001001,EXL,Consultants,9/10/2020,SC,LTD,LTD,Y,29715,2,0,0,3,0,1,1,9,2485858266,2,7507331158,47,0,0
8001 T W ALEXANDER DR STE 216,NASHVILLE,JOHN D HOLLY,MID-CENTRAL,NASHVILLE KNOXVILLE,Decile 1-2,JOHN D HOLLY@outlook.com,12/20/2021,U000101,NATION,US,9/8/2021,10021349,1001001,EXL,Hospitals,9/10/2020,TN,LTD,LTD,N,37232,3,1,1,3,0,1,2,1,2485578860,2,9407331166,48,1,0
601 ELMWOOD AVE,DES MOINES,CLAUDEN  LOUIS,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 9-10,CLAUDEN  LOUIS@EDU.ORG,12/20/2021,U000101,NATION,US,9/14/2021,10021356,1001001,EXL,Consultants,9/10/2020,IA,LTD,LTD,Y,50314,1,1,3,3,0,1,0,9,4404491555,2,9007331174,49,0,0
1600 SW ARCHER RD,CHICAGO,STEPHEN H MCCREADY,MIDWEST,CHICAGO NORTH,Decile 5-6,STEPHEN H MCCREADY@gmail.com,12/20/2021,U000101,NATION,US,12/24/2020,10021363,1001001,EXL,Consultants,9/10/2020,IL,LTD,LTD,N,60611,1,0,3,3,0,1,0,5,2164459139,2,9007331182,50,0,0
805 SANDY PLAINS RD,MAYWOOD,ROBERT D JANSEN,MIDWEST,CHICAGO NORTH,Decile 9-10,ROBERT D JANSEN@yahoo.com,12/20/2021,U000101,NATION,US,3/19/2021,10021370,1001001,EXL,Hospitals,9/10/2020,IL,LTD,LTD,Y,60153,0,0,1,1,0,0,0,9,2164455744,2,8107331190,51,0,0
1959 NE PACIFIC ST,ST LOUIS PARK,AMY ELIZABETH CHENEY,MIDWEST,MINNEAPOLIS SOUTH,Decile 5-6,AMY ELIZABETH CHENEY@yahoo.com,12/20/2021,U000101,NATION,US,12/15/2020,10021377,1001001,EXL,Consultants,9/10/2020,MN,LTD,LTD,N,55416,2,0,0,4,0,1,1,5,6142930371,2,8407331198,52,1,1
1001 POTRERO AVE,LAMAR,MARGOT BETH KUSHEL,MIDWEST,SPRINGFIELD / SAINT LOUIS WEST,Decile 9-10,MARGOT BETH KUSHEL@outlook.com,12/20/2021,U000101,NATION,US,12/3/2021,10021384,1001001,EXL,Consultants,9/10/2020,MO,LTD,LTD,Y,64759,3,0,0,0,0,1,2,9,6142938902,2,8407331206,53,0,0
1514 JEFFERSON HWY,HARTFORD,KEVIN PATRICK COWLEY,NORTHEAST,HARTFORD,Decile 7-8,KEVIN PATRICK COWLEY@gmail.com,12/20/2021,U000101,NATION,US,6/5/2021,10021391,1001001,EXL,Hospitals,9/10/2020,CT,LTD,LTD,N,06102,1,0,0,0,0,0,1,7,8148897999,2,7507331214,54,1,1
2589 SAMARITAN DR,FAYETTEVILLE,NISHA S PARIKH,MID-CENTRAL,CHARLOTTE,Decile 3-4,NISHA S PARIKH@gmail.com,12/20/2021,U000101,NATION,US,5/21/2021,10021398,1001001,EXL,Consultants,9/10/2020,NC,LTD,LTD,N,28304,2,0,0,0,0,0,2,3,6142939155,2,8307331222,55,0,0
96 CAMPUS DR STE 1,MORGANTON,REBECCA DANCAUSE MORIN,MID-CENTRAL,CHARLOTTE,Decile 3-4,REBECCA DANCAUSE MORIN@yahoo.com,12/20/2021,U000101,NATION,US,12/9/2021,10021405,1001001,EXL,Consultants,9/10/2020,NC,LTD,LTD,N,28655,3,2,3,3,1,1,2,3,6142936111,2,9407331230,56,0,0
655 W 8TH ST,DURHAM,LETINA M FLOWERS,MID-CENTRAL,RALEIGH DURHAM,Decile 1-2,LETINA M FLOWERS@icould.com,12/20/2021,U000101,NATION,US,4/6/2021,10021412,1001001,EXL,Hospitals,9/10/2020,NC,LTD,LTD,N,27705,3,2,2,2,1,1,2,2,8144552765,2,7807331238,57,1,1
1001 S GEORGE ST,NEW BERN,PETER JOHN BAUMEISTER,MID-CENTRAL,RALEIGH DURHAM,Decile 7-8,PETER JOHN BAUMEISTER@outlook.com,12/20/2021,U000101,NATION,US,12/23/2020,10021419,1001001,EXL,Consultants,9/10/2020,NC,LTD,LTD,N,28560,2,2,2,2,0,1,1,7,7175316250,2,8407331246,58,1,1
759 CHESTNUT ST,WILMINGTON,KATHRYN ANNE SAVARESE,MID-CENTRAL,RALEIGH DURHAM,Decile 3-4,KATHRYN ANNE SAVARESE@yahoo.com,12/20/2021,U000101,NATION,US,10/27/2020,10021426,1001001,EXL,Hospitals,9/10/2020,NC,LTD,LTD,N,28401,2,0,1,1,0,1,1,3,2153495579,2,7507331254,59,1,1
365 EAST ST,GRINNELL,SARAH L CLARKE,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 1-2,SARAH L CLARKE@yahoo.com,12/20/2021,U000101,NATION,US,4/13/2021,10018110,1001001,EXL,Hospitals,9/10/2020,IA,LTD,LTD,N,50112,1,0,3,3,0,0,1,2,2155037007,2,7507331262,60,1,0
3501 JOHNSON ST,ALTON,JOYCE A BROWNLEE,MIDWEST,SAINT LOUIS EAST,Decile 7-8,JOYCE A BROWNLEE@EDU.ORG,12/20/2021,U000101,NATION,US,8/26/2021,10018117,1001001,EXL,Hospitals,9/10/2020,IL,LTD,LTD,N,62002,3,0,0,1,0,1,2,7,7178122495,2,9007331270,61,1,0
4204 GARDENDALE ST STE 312,BLOOMINGTON,MARY CHRISTINE WATERMAN,MIDWEST,MINNEAPOLIS SOUTH,Decile 1-2,MARY CHRISTINE WATERMAN@gmail.com,12/20/2021,U000101,NATION,US,3/28/2021,10018124,1001001,EXL,Hospitals,9/10/2020,MN,LTD,LTD,N,55425,0,0,3,3,0,0,0,1,2027155161,2,9007331278,62,1,1
11100 EUCLID AVE,BOSTON,JOSHUA  COFFEY,NORTHEAST,BOSTON NORTH,Decile 3-4,JOSHUA  COFFEY@gmail.com,12/20/2021,U000101,NATION,US,9/28/2021,10018131,1001001,EXL,Consultants,9/10/2020,MA,LTD,LTD,N,02118,1,1,1,1,0,1,0,3,7043555736,2,9007331286,63,1,0
3300 GALLOWS RD,PORTLAND,ELIZABETH M WHITMAN,NORTHEAST,BOSTON NORTH,Decile 3-4,ELIZABETH M WHITMAN@outlook.com,12/20/2021,U000101,NATION,US,5/17/2021,10018138,1001001,EXL,Hospitals,9/10/2020,ME,LTD,LTD,N,04102,3,0,0,3,0,1,2,4,7043555948,2,8407331294,64,0,0
410 W 10TH AVE,ELMHURST,ANDREW MCLEAN THOMAS,NORTHEAST,BROOKLYN,Decile 1-2,ANDREW MCLEAN THOMAS@gmail.com,12/20/2021,U000101,NATION,US,8/22/2021,10018145,1001001,EXL,Hospitals,9/10/2020,NY,LTD,LTD,N,11373,2,1,2,4,0,0,2,2,7044466037,2,9407331302,65,1,0
655 W 8TH ST FL 1,BASKING RIDGE,MARCOS  VALENTIN,MID-ATLANTIC,NORTH JERSEY,Decile 1-2,MARCOS  VALENTIN@EDU.ORG,12/20/2021,U000101,NATION,US,1/4/2021,10018152,1001001,EXL,Hospitals,9/10/2020,NJ,LTD,LTD,N,07920,2,0,3,3,0,1,1,1,7044461241,2,8407331310,66,1,1
1600 W 24TH ST,FLEETWOOD,THOMAS C INGRAHAM,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 3-4,THOMAS C INGRAHAM@outlook.com,12/20/2021,U000101,NATION,US,10/7/2020,10018159,1001001,EXL,Consultants,9/10/2020,PA,LTD,LTD,N,19522,2,1,3,3,0,1,1,4,8133435506,2,8107331318,67,0,0
233 E SUPERIOR ST,CLINTON,MAUREEN  SADIM,MID-CENTRAL,RALEIGH DURHAM,Decile 5-6,MAUREEN  SADIM@gmail.com,12/20/2021,U000101,NATION,US,5/30/2021,10018166,1001001,EXL,Consultants,9/10/2020,NC,LTD,LTD,N,28328,1,0,0,0,0,0,1,6,3193847900,2,7807331326,68,0,0
1 BOSTON MEDICAL CTR PL,DUNN,SUSAN JANE MORRISSEY,MID-CENTRAL,RALEIGH DURHAM,Decile 3-4,SUSAN JANE MORRISSEY@thunderbird.com,12/20/2021,U000101,NATION,US,9/11/2021,10018173,1001001,EXL,Hospitals,9/10/2020,NC,LTD,LTD,N,28334,0,1,3,3,0,0,0,3,8474397555,2,8407331334,69,1,1
1 TAMPA GENERAL CIR,MERIDEN,IRIS S SANCHEZ,NORTHEAST,HARTFORD,Decile 3-4,IRIS S SANCHEZ@thunderbird.com,12/20/2021,U000101,NATION,US,3/16/2021,10018180,1001001,EXL,Consultants,9/10/2020,CT,LTD,LTD,N,06451,0,0,0,2,0,0,0,3,3126955774,2,7807331342,70,0,0
1275 YORK AVE,MIDDLETOWN,STEVEN C MARTIN,NORTHEAST,HARTFORD,Decile 7-8,STEVEN C MARTIN@yahoo.com,12/20/2021,U000101,NATION,US,2/23/2021,10018187,1001001,EXL,Hospitals,9/10/2020,CT,LTD,LTD,N,06457,1,2,2,2,0,0,1,7,5072872740,2,8307331350,71,1,0
601 ELMWOOD AVE 321,INDIAN TRAIL,TIMOTHY JOSEPH WIEGAND,MID-CENTRAL,CHARLOTTE,Decile 1-2,TIMOTHY JOSEPH WIEGAND@thunderbird.com,12/20/2021,U000101,NATION,US,12/8/2020,10018194,1001001,EXL,Hospitals,9/10/2020,NC,LTD,LTD,N,28079,2,0,0,0,0,1,1,1,5072840909,2,8407331358,72,1,1
19 BRADHURST AVE STE 3060N,ARLINGTON,GAYOTRI  GOSWAMI,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 5-6,GAYOTRI  GOSWAMI@outlook.com,12/20/2021,U000101,NATION,US,2/19/2021,10018201,1001001,EXL,Hospitals,9/10/2020,TN,LTD,LTD,N,38002,2,0,0,4,0,0,2,5,3143620215,2,7507331366,73,0,0
