Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Start Date,State,TBmaster,Time Bucket,Trgt Flg,Zip,% Reach,Avegarge Visit,ClickThrough Rate,count ID,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Email Open Rate,Fax,Frequncy,Geo Level Id,HCP Engaged Email,HCP Reached email,Opt out Rate,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
N 2800 PLYMOUTH RD # 26-327,ANNA,JEREMY SCOTT VANEPPS,MIDWEST,SAINT LOUIS EAST,Decile 9-10,JEREMY SCOTT VANEPPS@yahoo.com,12/20/2021,U000101,NATION,US,10/26/2021,10011455,1001001,EXL,10/1/2021,IL,QTD,QTD,Y,62906,1,1,1,1,2,2,2,4,1,1,1,9,0.5,"6,154,676,692",1,2,1,1,0.5,"9,407,337,142",795,1,0
N 2800 PLYMOUTH RD # 26-327,ANNA,JEREMY SCOTT VANEPPS,MIDWEST,SAINT LOUIS EAST,Decile 9-10,JEREMY SCOTT VANEPPS@yahoo.com,12/20/2021,U000101,NATION,US,10/26/2021,10011455,1001001,EXL,1/1/2021,IL,YTD,YTD,Y,62906,1,1,1,1,2,2,2,4,1,1,1,9,0.5,"6,154,676,692",1,2,1,1,0.5,"9,407,337,142",795,1,0
N 2800 PLYMOUTH RD # 26-327,ANNA,JEREMY SCOTT VANEPPS,MIDWEST,SAINT LOUIS EAST,Decile 9-10,JEREMY SCOTT VANEPPS@yahoo.com,12/20/2021,U000101,NATION,US,10/26/2021,10011455,1001001,EXL,9/10/2020,IL,LTD,LTD,Y,62906,1,1,1,1,2,2,2,4,1,1,1,9,0.5,"6,154,676,692",1,2,1,1,0.5,"9,407,337,142",795,1,0
GEORGE ST YORK HOSPITAL,RYE,MICHAEL A BOHRN,UPPER NORTHWEST CENTRAL,DENVER,Decile 5-6,MICHAEL A BOHRN@outlook.com,5/31/2021,U000101,NATION,US,5/30/2021,10009957,1001001,EXL,5/1/2021,CO,M7,M7,N,81069,1,1,1,1,1,2,2,3,1,1,0,6,0.666666667,"2,537,562,963",1,2,1,1,0.5,"8,407,335,430",581,0,0
GEORGE ST YORK HOSPITAL,RYE,MICHAEL A BOHRN,UPPER NORTHWEST CENTRAL,DENVER,Decile 5-6,MICHAEL A BOHRN@outlook.com,12/20/2021,U000101,NATION,US,5/30/2021,10009957,1001001,EXL,1/1/2021,CO,YTD,YTD,N,81069,1,1,1,1,1,2,2,3,1,1,0,6,0.666666667,"2,537,562,963",1,2,1,1,0.5,"8,407,335,430",581,0,0
GEORGE ST YORK HOSPITAL,RYE,MICHAEL A BOHRN,UPPER NORTHWEST CENTRAL,DENVER,Decile 5-6,MICHAEL A BOHRN@outlook.com,12/20/2021,U000101,NATION,US,5/30/2021,10009957,1001001,EXL,9/10/2020,CO,LTD,LTD,N,81069,1,1,1,1,1,2,2,3,1,1,0,6,0.666666667,"2,537,562,963",1,2,1,1,0.5,"8,407,335,430",581,0,0
ELMWOOD AVE,WOODBINE,AHMAD ISMAEL MANASRA,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 1-2,AHMAD ISMAEL MANASRA@thunderbird.com,1/31/2021,U000101,NATION,US,1/9/2021,10009068,1001001,EXL,1/1/2021,IA,M11,M11,N,51579,1,1,,1,2,0,0,0,0,0,2,1,,"3,522,657,996",1,2,0,0,,"8,407,334,414",454,1,1
ELMWOOD AVE,WOODBINE,AHMAD ISMAEL MANASRA,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 1-2,AHMAD ISMAEL MANASRA@thunderbird.com,12/20/2021,U000101,NATION,US,1/9/2021,10009068,1001001,EXL,1/1/2021,IA,YTD,YTD,N,51579,1,1,,1,2,0,0,0,0,0,2,1,,"3,522,657,996",1,2,0,0,,"8,407,334,414",454,1,1
ELMWOOD AVE,WOODBINE,AHMAD ISMAEL MANASRA,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 1-2,AHMAD ISMAEL MANASRA@thunderbird.com,12/20/2021,U000101,NATION,US,1/9/2021,10009068,1001001,EXL,9/10/2020,IA,LTD,LTD,N,51579,1,1,,1,2,0,0,0,0,0,2,1,,"3,522,657,996",1,2,0,0,,"8,407,334,414",454,1,1
ELIOT COMMUNITY HUMAN SERV,NEWHALL,ANDREW  KWAIT,WEST,LOS ANGELES NORTH,Decile 9-10,ANDREW  KWAIT@gmail.com,2/28/2021,U000101,NATION,US,2/4/2021,10010937,1001001,EXL,2/1/2021,CA,M10,M10,Y,91321,1,1,,1,2,0,0,4,0,0,2,10,0,"4,128,587,628",1,2,0,1,,"7,507,336,550",721,1,1
ELIOT COMMUNITY HUMAN SERV,NEWHALL,ANDREW  KWAIT,WEST,LOS ANGELES NORTH,Decile 9-10,ANDREW  KWAIT@gmail.com,12/20/2021,U000101,NATION,US,2/4/2021,10010937,1001001,EXL,1/1/2021,CA,YTD,YTD,Y,91321,1,1,,1,2,0,0,4,0,0,2,10,0,"4,128,587,628",1,2,0,1,,"7,507,336,550",721,1,1
ELIOT COMMUNITY HUMAN SERV,NEWHALL,ANDREW  KWAIT,WEST,LOS ANGELES NORTH,Decile 9-10,ANDREW  KWAIT@gmail.com,12/20/2021,U000101,NATION,US,2/4/2021,10010937,1001001,EXL,9/10/2020,CA,LTD,LTD,Y,91321,1,1,,1,2,0,0,4,0,0,2,10,0,"4,128,587,628",1,2,0,1,,"7,507,336,550",721,1,1
E 12 MILE RD,SUMMIT,HAFEZ MOHAMAD BAZZI,MID-ATLANTIC,NORTH JERSEY,Decile 1-2,HAFEZ MOHAMAD BAZZI@GLOBAL.NET,1/31/2021,U000101,NATION,US,1/18/2021,10019461,1001001,EXL,1/1/2021,NJ,M11,M11,N,7901,1,1,0,1,2,0,3,3,0,0,2,1,1,"7,072,535,513",1,2,0,1,0,"8,107,332,806",253,1,0
E 12 MILE RD,SUMMIT,HAFEZ MOHAMAD BAZZI,MID-ATLANTIC,NORTH JERSEY,Decile 1-2,HAFEZ MOHAMAD BAZZI@GLOBAL.NET,12/20/2021,U000101,NATION,US,1/18/2021,10019461,1001001,EXL,1/1/2021,NJ,YTD,YTD,N,7901,1,1,0,1,2,0,3,3,0,0,2,1,1,"7,072,535,513",1,2,0,1,0,"8,107,332,806",253,1,0
E 12 MILE RD,SUMMIT,HAFEZ MOHAMAD BAZZI,MID-ATLANTIC,NORTH JERSEY,Decile 1-2,HAFEZ MOHAMAD BAZZI@GLOBAL.NET,12/20/2021,U000101,NATION,US,1/18/2021,10019461,1001001,EXL,9/10/2020,NJ,LTD,LTD,N,7901,1,1,0,1,2,0,3,3,0,0,2,1,1,"7,072,535,513",1,2,0,1,0,"8,107,332,806",253,1,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,10/31/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,10/1/2021,FL,M2,M2,Y,34285,1,1,,1,2,0,0,3,0,0,2,10,0,"8,282,747,855",1,2,0,1,,"9,007,332,190",176,0,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,12/20/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,10/1/2021,FL,QTD,QTD,Y,34285,1,1,,1,2,0,0,3,0,0,2,10,0,"8,282,747,855",1,2,0,1,,"9,007,332,190",176,0,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,12/20/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,1/1/2021,FL,YTD,YTD,Y,34285,1,1,,1,2,0,0,3,0,0,2,10,0,"8,282,747,855",1,2,0,1,,"9,007,332,190",176,0,0
C 4201 SAINT ANTOINE ST # 9,VENICE,RUMA  HOPKINS,SOUTH EAST,TAMPA,Decile 9-10,RUMA  HOPKINS@icould.com,12/20/2021,U000101,NATION,US,10/15/2021,10018922,1001001,EXL,9/10/2020,FL,LTD,LTD,Y,34285,1,1,,1,2,0,0,3,0,0,2,10,0,"8,282,747,855",1,2,0,1,,"9,007,332,190",176,0,0
44199 DEQUINDRE RD,BRONXVILLE,KENNETH J KULIK,NORTHEAST,WHITE PLAINS / BRONX,Decile 1-2,KENNETH J KULIK@yahoo.com,12/20/2021,U000101,NATION,US,11/5/2020,10018754,1001001,EXL,9/10/2020,NY,LTD,LTD,N,10708,0,1,1,1,0,2,2,2,1,0,0,1,1,"7,043,849,440",1,2,1,1,0.5,"8,407,331,998",152,1,1
43184 DEQUINDRE RD STE 202,ATLANTIS,NICOLAS A MARSHEH,SOUTH EAST,ORLANDO,Decile 1-2,NICOLAS A MARSHEH@gmail.com,12/20/2021,U000101,NATION,US,11/5/2020,10020763,1001001,EXL,9/10/2020,FL,LTD,LTD,N,33462,1,1,1,1,2,2,2,3,0,0,2,2,0.666666667,"5,852,541,092",1,2,1,1,0,"9,407,334,294",439,1,0
39901 TRADITIONS DR,OMAHA,KIMBERLY ANNE VERES HANNAH,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 5-6,KIMBERLY ANNE VERES HANNAH@aolmail.com,3/31/2021,U000101,NATION,US,3/12/2021,10020602,1001001,EXL,3/1/2021,NE,M9,M9,N,68130,1,1,0,1,2,0,2,3,0,0,2,6,0.666666667,"8,052,691,585",1,2,0,1,0,"8,307,334,110",416,0,0
39901 TRADITIONS DR,OMAHA,KIMBERLY ANNE VERES HANNAH,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 5-6,KIMBERLY ANNE VERES HANNAH@aolmail.com,12/20/2021,U000101,NATION,US,3/12/2021,10020602,1001001,EXL,1/1/2021,NE,YTD,YTD,N,68130,1,1,0,1,2,0,2,3,0,0,2,6,0.666666667,"8,052,691,585",1,2,0,1,0,"8,307,334,110",416,0,0
39901 TRADITIONS DR,OMAHA,KIMBERLY ANNE VERES HANNAH,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 5-6,KIMBERLY ANNE VERES HANNAH@aolmail.com,12/20/2021,U000101,NATION,US,3/12/2021,10020602,1001001,EXL,9/10/2020,NE,LTD,LTD,N,68130,1,1,0,1,2,0,2,3,0,0,2,6,0.666666667,"8,052,691,585",1,2,0,1,0,"8,307,334,110",416,0,0
37771 SCHOENHERR RD,CONWAY,JUSTINE A NASR,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 3-4,JUSTINE A NASR@gmail.com,3/31/2021,U000101,NATION,US,3/7/2021,10012099,1001001,EXL,3/1/2021,AR,M9,M9,N,72032,0,1,,1,0,0,0,4,0,0,0,4,0,"8,054,686,011",1,2,0,1,,"8,407,337,878",887,0,0
37771 SCHOENHERR RD,CONWAY,JUSTINE A NASR,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 3-4,JUSTINE A NASR@gmail.com,12/20/2021,U000101,NATION,US,3/7/2021,10012099,1001001,EXL,1/1/2021,AR,YTD,YTD,N,72032,0,1,,1,0,0,0,4,0,0,0,4,0,"8,054,686,011",1,2,0,1,,"8,407,337,878",887,0,0
37771 SCHOENHERR RD,CONWAY,JUSTINE A NASR,MID-CENTRAL,MEMPHIS LITTLE ROCK,Decile 3-4,JUSTINE A NASR@gmail.com,12/20/2021,U000101,NATION,US,3/7/2021,10012099,1001001,EXL,9/10/2020,AR,LTD,LTD,N,72032,0,1,,1,0,0,0,4,0,0,0,4,0,"8,054,686,011",1,2,0,1,,"8,407,337,878",887,0,0
36123 SCHOOLCRAFT RD,LEWISTON,TIFFANIE LYNN MAXWELL COVIEO,NORTHEAST,BOSTON NORTH,Decile 7-8,TIFFANIE LYNN MAXWELL COVIEO@thunderbird.com,10/31/2021,U000101,NATION,US,10/14/2021,10018901,1001001,EXL,10/1/2021,ME,M2,M2,N,4240,1,1,,1,2,0,0,0,0,1,1,7,,"4,109,553,809",1,2,0,0,,"9,407,332,166",173,0,0
36123 SCHOOLCRAFT RD,LEWISTON,TIFFANIE LYNN MAXWELL COVIEO,NORTHEAST,BOSTON NORTH,Decile 7-8,TIFFANIE LYNN MAXWELL COVIEO@thunderbird.com,12/20/2021,U000101,NATION,US,10/14/2021,10018901,1001001,EXL,10/1/2021,ME,QTD,QTD,N,4240,1,1,,1,2,0,0,0,0,1,1,7,,"4,109,553,809",1,2,0,0,,"9,407,332,166",173,0,0
36123 SCHOOLCRAFT RD,LEWISTON,TIFFANIE LYNN MAXWELL COVIEO,NORTHEAST,BOSTON NORTH,Decile 7-8,TIFFANIE LYNN MAXWELL COVIEO@thunderbird.com,12/20/2021,U000101,NATION,US,10/14/2021,10018901,1001001,EXL,1/1/2021,ME,YTD,YTD,N,4240,1,1,,1,2,0,0,0,0,1,1,7,,"4,109,553,809",1,2,0,0,,"9,407,332,166",173,0,0
36123 SCHOOLCRAFT RD,LEWISTON,TIFFANIE LYNN MAXWELL COVIEO,NORTHEAST,BOSTON NORTH,Decile 7-8,TIFFANIE LYNN MAXWELL COVIEO@thunderbird.com,12/20/2021,U000101,NATION,US,10/14/2021,10018901,1001001,EXL,9/10/2020,ME,LTD,LTD,N,4240,1,1,,1,2,0,0,0,0,1,1,7,,"4,109,553,809",1,2,0,0,,"9,407,332,166",173,0,0
36123 SCHOOLCRAFT RD,GARFIELD HEIGHTS,DAWN ELIZABETH PANGRAZZI,GREAT LAKES,CLEVELAND,Decile 5-6,DAWN ELIZABETH PANGRAZZI@gmail.com,12/20/2021,U000101,NATION,US,10/26/2020,10021076,1001001,EXL,9/10/2020,OH,LTD,LTD,N,44125,1,1,,1,3,0,0,0,0,1,2,6,,"6,143,667,004",1,2,0,0,,"7,807,330,854",9,0,0
36065 SANTA FE AVE,HUNTINGDON VALLEY,SHANNON  DELAHOY,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 3-4,SHANNON  DELAHOY@gmail.com,5/31/2021,U000101,NATION,US,5/25/2021,10010867,1001001,EXL,5/1/2021,PA,M7,M7,N,19006,1,1,1,1,1,2,2,4,0,0,1,3,0.5,"2,079,901,248",1,2,1,1,0,"9,007,336,470",711,1,1
36065 SANTA FE AVE,MARINETTE,DYLAN  CLABAUGH,Unassigned,US,Decile 7-8,DYLAN  CLABAUGH@thunderbird.com,7/31/2021,U000101,NATION,US,7/23/2021,10010475,1001001,EXL,7/1/2021,WI,M5,M5,N,54143,1,1,,1,1,0,0,4,0,0,1,8,0,"6,017,987,553",1,2,0,1,,"7,807,336,022",655,1,1
36065 SANTA FE AVE,HUNTINGDON VALLEY,SHANNON  DELAHOY,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 3-4,SHANNON  DELAHOY@gmail.com,12/20/2021,U000101,NATION,US,5/25/2021,10010867,1001001,EXL,1/1/2021,PA,YTD,YTD,N,19006,1,1,1,1,1,2,2,4,0,0,1,3,0.5,"2,079,901,248",1,2,1,1,0,"9,007,336,470",711,1,1
36065 SANTA FE AVE,MARINETTE,DYLAN  CLABAUGH,Unassigned,US,Decile 7-8,DYLAN  CLABAUGH@thunderbird.com,12/20/2021,U000101,NATION,US,7/23/2021,10010475,1001001,EXL,1/1/2021,WI,YTD,YTD,N,54143,1,1,,1,1,0,0,4,0,0,1,8,0,"6,017,987,553",1,2,0,1,,"7,807,336,022",655,1,1
36065 SANTA FE AVE,HUNTINGDON VALLEY,SHANNON  DELAHOY,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 3-4,SHANNON  DELAHOY@gmail.com,12/20/2021,U000101,NATION,US,5/25/2021,10010867,1001001,EXL,9/10/2020,PA,LTD,LTD,N,19006,1,1,1,1,1,2,2,4,0,0,1,3,0.5,"2,079,901,248",1,2,1,1,0,"9,007,336,470",711,1,1
36065 SANTA FE AVE,MARINETTE,DYLAN  CLABAUGH,Unassigned,US,Decile 7-8,DYLAN  CLABAUGH@thunderbird.com,12/20/2021,U000101,NATION,US,7/23/2021,10010475,1001001,EXL,9/10/2020,WI,LTD,LTD,N,54143,1,1,,1,1,0,0,4,0,0,1,8,0,"6,017,987,553",1,2,0,1,,"7,807,336,022",655,1,1
33155 ANNAPOLIS ST,HAZARD,NAZIA S ADIL,MID-CENTRAL,LEXINGTON,Decile 9-10,NAZIA S ADIL@outlook.com,9/30/2021,U000101,NATION,US,9/28/2021,10012309,1001001,EXL,9/1/2021,KY,M3,M3,Y,41701,1,1,,1,1,0,0,0,0,0,1,10,,"9,734,029,778",1,2,0,0,,"9,407,338,118",917,0,0
33155 ANNAPOLIS ST,SALINAS,ROBERT RUSSELL EHRMAN,WEST,SAN  FRANCISCO WEST,Decile 1-2,ROBERT RUSSELL EHRMAN@outlook.com,9/30/2021,U000101,NATION,US,9/22/2021,10018733,1001001,EXL,9/1/2021,CA,M3,M3,N,93901,1,1,0.333333333,1,3,1,3,3,0,1,2,1,1,"8,005,368,431",1,2,1,1,0,"7,807,331,974",149,0,0
33155 ANNAPOLIS ST,HAZARD,NAZIA S ADIL,MID-CENTRAL,LEXINGTON,Decile 9-10,NAZIA S ADIL@outlook.com,12/20/2021,U000101,NATION,US,9/28/2021,10012309,1001001,EXL,1/1/2021,KY,YTD,YTD,Y,41701,1,1,,1,1,0,0,0,0,0,1,10,,"9,734,029,778",1,2,0,0,,"9,407,338,118",917,0,0
33155 ANNAPOLIS ST,SALINAS,ROBERT RUSSELL EHRMAN,WEST,SAN  FRANCISCO WEST,Decile 1-2,ROBERT RUSSELL EHRMAN@outlook.com,12/20/2021,U000101,NATION,US,9/22/2021,10018733,1001001,EXL,1/1/2021,CA,YTD,YTD,N,93901,1,1,0.333333333,1,3,1,3,3,0,1,2,1,1,"8,005,368,431",1,2,1,1,0,"7,807,331,974",149,0,0
33155 ANNAPOLIS ST,HAZARD,NAZIA S ADIL,MID-CENTRAL,LEXINGTON,Decile 9-10,NAZIA S ADIL@outlook.com,12/20/2021,U000101,NATION,US,9/28/2021,10012309,1001001,EXL,9/10/2020,KY,LTD,LTD,Y,41701,1,1,,1,1,0,0,0,0,0,1,10,,"9,734,029,778",1,2,0,0,,"9,407,338,118",917,0,0
33155 ANNAPOLIS ST,SALINAS,ROBERT RUSSELL EHRMAN,WEST,SAN  FRANCISCO WEST,Decile 1-2,ROBERT RUSSELL EHRMAN@outlook.com,12/20/2021,U000101,NATION,US,9/22/2021,10018733,1001001,EXL,9/10/2020,CA,LTD,LTD,N,93901,1,1,0.333333333,1,3,1,3,3,0,1,2,1,1,"8,005,368,431",1,2,1,1,0,"7,807,331,974",149,0,0
32255 NORTHWESTERN HWY STE 130,BRANFORD,MICHAEL A SILLS,NORTHEAST,HARTFORD,Decile 7-8,MICHAEL A SILLS@thunderbird.com,12/20/2021,U000101,NATION,US,10/21/2020,10020091,1001001,EXL,9/10/2020,CT,LTD,LTD,N,6405,1,1,1,1,2,1,1,1,0,1,1,7,1,"9,095,802,165",1,2,1,1,0,"8,307,333,526",343,0,0
29877 TELEGRAPH RD,JESSUP,CHRISTINA  AKARAZ,MID-ATLANTIC,WASHINGTON DC NORTH,Decile 5-6,CHRISTINA  AKARAZ@gmail.com,12/20/2021,U000101,NATION,US,11/26/2020,10021286,1001001,EXL,9/10/2020,MD,LTD,LTD,N,20794,1,1,,1,1,0,0,4,0,0,1,5,0,"2,166,362,054",1,2,0,1,,"8,307,331,094",39,0,0
29398 RECOVERY WAY,MARSHFIELD,PRISCILLA STEWART C PARK,NORTHEAST,BOSTON SOUTH,Decile 7-8,PRISCILLA STEWART C PARK@gmail.com,1/31/2021,U000101,NATION,US,1/1/2021,10019510,1001001,EXL,1/1/2021,MA,M11,M11,N,2050,0,1,,1,0,0,0,3,0,0,0,8,0,"8,883,120,855",1,2,0,1,,"7,507,332,862",260,1,1
29398 RECOVERY WAY,MARSHFIELD,PRISCILLA STEWART C PARK,NORTHEAST,BOSTON SOUTH,Decile 7-8,PRISCILLA STEWART C PARK@gmail.com,12/20/2021,U000101,NATION,US,1/1/2021,10019510,1001001,EXL,1/1/2021,MA,YTD,YTD,N,2050,0,1,,1,0,0,0,3,0,0,0,8,0,"8,883,120,855",1,2,0,1,,"7,507,332,862",260,1,1
29398 RECOVERY WAY,MARSHFIELD,PRISCILLA STEWART C PARK,NORTHEAST,BOSTON SOUTH,Decile 7-8,PRISCILLA STEWART C PARK@gmail.com,12/20/2021,U000101,NATION,US,1/1/2021,10019510,1001001,EXL,9/10/2020,MA,LTD,LTD,N,2050,0,1,,1,0,0,0,3,0,0,0,8,0,"8,883,120,855",1,2,0,1,,"7,507,332,862",260,1,1
29355 NORTHWESTERN HWY STE 210,MISSION,JACQUELINE L GIERER,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 9-10,JACQUELINE L GIERER@gmail.com,12/20/2021,U000101,NATION,US,12/12/2021,10010139,1001001,EXL,12/1/2021,KS,MTD,MTD,Y,66202,1,1,0,1,2,0,1,1,0,1,1,9,1,"2,568,255,742",1,2,0,1,0,"8,107,335,638",607,0,0
29355 NORTHWESTERN HWY STE 210,MISSION,JACQUELINE L GIERER,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 9-10,JACQUELINE L GIERER@gmail.com,12/20/2021,U000101,NATION,US,12/12/2021,10010139,1001001,EXL,10/1/2021,KS,QTD,QTD,Y,66202,1,1,0,1,2,0,1,1,0,1,1,9,1,"2,568,255,742",1,2,0,1,0,"8,107,335,638",607,0,0
29355 NORTHWESTERN HWY STE 210,MISSION,JACQUELINE L GIERER,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 9-10,JACQUELINE L GIERER@gmail.com,12/20/2021,U000101,NATION,US,12/12/2021,10010139,1001001,EXL,1/1/2021,KS,YTD,YTD,Y,66202,1,1,0,1,2,0,1,1,0,1,1,9,1,"2,568,255,742",1,2,0,1,0,"8,107,335,638",607,0,0
29355 NORTHWESTERN HWY STE 210,MISSION,JACQUELINE L GIERER,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 9-10,JACQUELINE L GIERER@gmail.com,12/20/2021,U000101,NATION,US,12/12/2021,10010139,1001001,EXL,9/10/2020,KS,LTD,LTD,Y,66202,1,1,0,1,2,0,1,1,0,1,1,9,1,"2,568,255,742",1,2,0,1,0,"8,107,335,638",607,0,0
29160 SHIRAH LN,HENDERSON,LAURA MARIE MEYER,WEST,SAN BERNADINO / LAS VEGAS,Decile 5-6,LAURA MARIE MEYER@aolmail.com,12/20/2021,U000101,NATION,US,12/2/2021,10019594,1001001,EXL,12/1/2021,NV,MTD,MTD,N,89052,0,1,0.5,1,0,1,2,2,1,0,0,6,1,"2,037,854,580",1,2,1,1,0.5,"7,807,332,958",272,0,0
